qpu,n,shots_per_circuit,circuits,total_shots,task_rate_dollars,shot_rate_dollars,cost_dollars,within_20_dollar_cap,classical_bound,quantum_bound,ideal_quantum_advantage,readout_e0,readout_e1,readout_source,delta_mode,predicted_delta,expected_win_rate,margin_above_classical,physics_possible,certification_power,certification_power_percent,expected_p_value,passes_3sigma_at_expectation
emerald,3,10,6,60,0.3,0.0016,1.896,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.02164615220283755,2.164615220283755,0.10807126010622699,False
emerald,3,220,6,1320,0.3,0.0016,3.912,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999999062342282,99.99999062342282,2.645967901567413e-15,True
emerald,3,230,6,1380,0.3,0.0016,4.007999999999999,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999999662132831,99.99999662132831,8.92383686539837e-16,True
emerald,3,240,6,1440,0.3,0.0016,4.103999999999999,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999999878497912,99.99999878497911,1.5155892873412483e-16,True
emerald,3,250,6,1500,0.3,0.0016,4.199999999999999,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999999972773882,99.99999972773882,5.119883012130444e-17,True
emerald,3,260,6,1560,0.3,0.0016,4.295999999999999,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999999990272,99.99999990272,1.727461821067151e-17,True
emerald,3,270,6,1620,0.3,0.0016,4.3919999999999995,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999999996527784,99.99999996527784,2.9465949391024803e-18,True
emerald,3,280,6,1680,0.3,0.0016,4.4879999999999995,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999999998761788,99.99999998761788,9.956129133347042e-19,True
emerald,3,290,6,1740,0.3,0.0016,4.584,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999999999558796,99.99999999558796,1.7003640503206148e-19,True
emerald,3,300,6,1800,0.3,0.0016,4.68,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999999999842898,99.99999999842898,5.752415090210485e-20,True
emerald,5,10,10,100,0.3,0.0016,3.16,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.031294262747379294,3.1294262747379293,0.05757688648703583,False
emerald,5,20,10,200,0.3,0.0016,3.3199999999999994,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.1802785657648943,18.02785657648943,0.008071249955101018,False
emerald,5,30,10,300,0.3,0.0016,3.4799999999999995,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.5074505721442438,50.745057214424385,0.0026514630464068542,False
emerald,5,40,10,400,0.3,0.0016,3.6399999999999997,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.6619674657643995,66.19674657643995,0.00043833332384359035,True
emerald,5,50,10,500,0.3,0.0016,3.8,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.8211983132739609,82.11983132739608,7.442533085287008e-05,True
emerald,5,60,10,600,0.3,0.0016,3.96,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9085145491751253,90.85145491751253,1.2860224151613085e-05,True
emerald,5,70,10,700,0.3,0.0016,4.12,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9539999298531239,95.3999929853124,2.249879794151879e-06,True
emerald,5,80,10,800,0.3,0.0016,4.28,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9839363249570396,98.39363249570397,8.162659092204935e-07,True
emerald,5,90,10,900,0.3,0.0016,4.44,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9921387717733547,99.21387717733548,1.4559179322192725e-07,True
emerald,5,100,10,1000,0.3,0.0016,4.6,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9973966542599079,99.7396654259908,2.610142256537734e-08,True
emerald,5,110,10,1100,0.3,0.0016,4.76,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9987358235193227,99.87358235193227,4.699214656562298e-09,True
emerald,5,120,10,1200,0.3,0.0016,4.92,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.999593206502069,99.95932065020689,8.49034404898537e-10,True
emerald,5,130,10,1300,0.3,0.0016,5.08,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9998712533950711,99.98712533950712,3.1452768829431676e-10,True
emerald,5,140,10,1400,0.3,0.0016,5.24,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.999937605321964,99.99376053219639,5.727534763800327e-11,True
emerald,5,150,10,1500,0.3,0.0016,5.4,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999804964946888,99.99804964946888,1.0450381979235856e-11,True
emerald,5,160,10,1600,0.3,0.0016,5.5600000000000005,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999939600656698,99.99939600656698,1.910097702039593e-12,True
emerald,5,170,10,1700,0.3,0.0016,5.720000000000001,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999981435658475,99.99981435658475,3.4966864346768527e-13,True
emerald,5,180,10,1800,0.3,0.0016,5.880000000000001,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999994329130782,99.99994329130783,6.410124420692372e-14,True
emerald,5,190,10,1900,0.3,0.0016,6.04,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.999999827651753,99.9999827651753,2.4036525209167055e-14,True
emerald,5,200,10,2000,0.3,0.0016,6.2,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999999478422918,99.99999478422919,4.424089037714697e-15,True
emerald,5,210,10,2100,0.3,0.0016,6.36,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999999842718259,99.99999842718259,8.150158323267378e-16,True
emerald,5,220,10,2200,0.3,0.0016,6.5200000000000005,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999999952714955,99.99999952714955,1.502685847772175e-16,True
emerald,5,230,10,2300,0.3,0.0016,6.68,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999999985820894,99.99999985820894,2.7727039762715684e-17,True
emerald,5,240,10,2400,0.3,0.0016,6.84,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999999995757587,99.99999995757587,1.0441188776151517e-17,True
emerald,5,250,10,2500,0.3,0.0016,7.0,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999999998733082,99.99999998733082,1.931819964030928e-18,True
emerald,5,260,10,2600,0.3,0.0016,7.16,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999999999622283,99.99999999622283,3.576083982411948e-19,True
emerald,5,270,10,2700,0.3,0.0016,7.32,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.999999999988755,99.9999999988755,6.623084947832344e-20,True
emerald,5,280,10,2800,0.3,0.0016,7.48,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999999999966565,99.99999999966565,1.2271924500557328e-20,True
emerald,5,290,10,2900,0.3,0.0016,7.640000000000001,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.9999999999994088,99.99999999994088,4.63406418445468e-21,True
emerald,5,300,10,3000,0.3,0.0016,7.800000000000001,True,0.9,0.9755282581475768,0.0755282581475768,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.027457719673110836,0.948070538474466,0.04807053847446596,True,0.999999999999825,99.9999999999825,8.6037042443906e-22,True
emerald,7,10,14,140,0.3,0.0016,4.424,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.02069589705089214,2.069589705089214,0.12094326694111399,False
